,z,height H1,height H2
396,396,2.8597867903,2.9883941205999998
397,397,2.8652061053999995,2.9881181342999996
398,398,2.8692802664999997,2.9889673312999996
399,399,2.8719990772,2.9908849297
400,400,2.8738953951999995,2.9932807642000006
401,401,2.8756110619,2.9954657086000003
402,402,2.8776053646000004,2.9969422029
403,403,2.8800817513000005,2.9974761135000003
404,404,2.8829788208,2.9971038771000007
405,405,2.8859400783,2.9961609867999996
406,406,2.8882865013999997,2.9953088775
407,407,2.8891481448999996,2.9954044310000003
408,408,2.8879404001,2.9970261615
409,409,2.8848758335999998,2.999964927
410,410,2.8808230897,3.0033660473
411,411,2.8767393445000002,3.0062944674000005
412,412,2.8733166272999995,3.0080835004999997
413,413,2.8708883505999996,3.0084208595
414,414,2.8694000366000005,3.0073706752
415,415,2.8683466258,3.0054341031
416,416,2.8667285985,3.0035972133
417,417,2.8632878877999994,3.0031043681
418,418,2.8572857854,3.0046901157
419,419,2.8492362354000003,3.0078494885
420,420,2.8405792859,3.0111593462999995
421,421,2.8327942118,3.0131548530000005
422,422,2.8268851895000005,3.0128343348
423,423,2.823249414,3.0097856111
424,424,2.8216319456,3.0042294786
425,425,2.8210388594999998,2.997108718
426,426,2.8197339387,2.9900968782999993
427,427,2.8157503401999993,2.9850940645
428,428,2.8081511276999995,2.9829736781
429,429,2.7978605933,2.9827549675
430,430,2.7868735371,2.9823937236999996
431,431,2.7770081413000005,2.9800263425000004
432,432,2.7693416742999997,2.974531313
433,433,2.7641317934,2.9656072508999998
434,434,2.7608101475,2.9537797853
435,435,2.7579268406,2.9404593601999998
436,436,2.7532584628000003,2.9278399573000002
437,437,2.7446015025,2.9181141234
438,438,2.7312778951,2.9119767456999996
439,439,2.7147428551,2.9080240798999997
440,440,2.6973947622000005,2.9039434677000004
441,441,2.6812448045,2.8978345195
442,442,2.6674441785000003,2.8886664477999995
443,443,2.6562814206,2.8762677796
444,444,2.6472185025,2.8612828597
445,445,2.6388759735000002,2.845186503
446,446,2.6291996850999997,2.8301241328
447,447,2.6162835373,2.8180991792
448,448,2.5997468938,2.809604304
449,449,2.5811182673,2.8032401691999995
450,450,2.5626354987999997,2.7969102362
451,451,2.5460868766,2.7889719034000002
452,452,2.5324643628,2.7785784671999996
453,453,2.522006372,2.7656343990000005
454,454,2.5142533925999997,2.7507382829000004
455,455,2.508061681,2.6759389597
456,456,2.5017956251,2.6575637379000003
457,457,2.4940701804,2.6427613168
458,458,2.4848066592999998,2.6317842128
459,459,2.4753092655,2.6234685182
460,460,2.4672192193,2.6162692935000003
461,461,2.4617053681,2.6090636379000003
462,462,2.4592912925,2.6013267214
463,463,2.4599286481,2.5930659411
464,464,2.4630607468,2.5847640672
465,465,2.4676710370999997,2.5773350298000004
466,466,2.4724985701,2.5719132425
467,467,2.4766269801,2.5692751646000005
468,468,2.4800970443,2.5692396107
469,469,2.4837136143,2.6052326148000002
470,470,2.4883160763000003,2.6020540527
471,471,2.4943757041000003,2.5990749296
472,472,2.5019720604,2.5961578068
473,473,2.5108720338,2.5934436567
474,474,2.5205883584,2.5912955376999998
475,475,2.5304363268000003,2.5902533396000003
476,476,2.5396909472,2.5908932709999997
477,477,2.547905699,2.5935291425
478,478,2.5551353677999997,2.5980044311999997
479,479,2.5617370864,2.6038891098
480,480,2.5680368542,2.6108030956
481,481,2.5742042377,2.6185335268
482,482,2.5802724789999996,2.6270089989
483,483,2.5861776835,2.6362549155000004
484,484,2.5917792257,2.6463685336000005
485,485,2.5968779351999998,2.6574994788999997
486,486,2.6012772777,2.6697931526
487,487,2.6049090031000004,2.6236610068
488,488,2.6079150736,2.6270313721000003
489,489,2.6105677518999997,2.6306067014999996
490,490,2.6131408776000002,2.6342872231000003
491,491,2.6158537397000003,2.6380450583000004
492,492,2.618864864,2.6419261333
493,493,2.6222679668,2.6460486099000002
494,494,2.6260715654,2.6506164802
495,495,2.6301744031,2.6559370385000003
496,496,2.6343953584000004,2.6623846796
497,497,2.6386326426999998,2.6702369110999995
